subject_name,uid,chapter_id,section_id,module_id
Physics,1772@1,1,2,6a0568d8-23d7-439b-9a01-16e4e73886b3
Physics,1781@1,1,2,6a0568d8-23d7-439b-9a01-16e4e73886b3
Biology,1339@1,18,1,b2589c4b-ef62-48a1-982a-724236ff26b5
Biology,1340@1,18,1,b2589c4b-ef62-48a1-982a-724236ff26b5
Biology,1341@1,18,1,b2589c4b-ef62-48a1-982a-724236ff26b5
Biology,1458@1,18,1,b2589c4b-ef62-48a1-982a-724236ff26b5
Biology,1347@1,18,1,b2589c4b-ef62-48a1-982a-724236ff26b5
Biology,1457@1,18,1,b2589c4b-ef62-48a1-982a-724236ff26b5
Biology,1355@1,18,1,b2589c4b-ef62-48a1-982a-724236ff26b5
Biology,1423@1,18,1,b2589c4b-ef62-48a1-982a-724236ff26b5
Biology,1420@1,18,1,b2589c4b-ef62-48a1-982a-724236ff26b5
Biology,1354@1,18,1,b2589c4b-ef62-48a1-982a-724236ff26b5
Biology,1352@1,18,1,b2589c4b-ef62-48a1-982a-724236ff26b5
Biology,1419@1,18,1,b2589c4b-ef62-48a1-982a-724236ff26b5
Biology,1353@1,18,1,b2589c4b-ef62-48a1-982a-724236ff26b5
Biology,1421@1,18,1,b2589c4b-ef62-48a1-982a-724236ff26b5
Physics,1709@1,1,3,80d2e9ef-abee-40c2-8586-5459a67c81f3
Physics,1721@1,1,3,80d2e9ef-abee-40c2-8586-5459a67c81f3
Physics,1818@1,2,1,7636a3bf-eb80-4898-8b2c-e81c1711b99f
Physics,1918@1,2,1,7636a3bf-eb80-4898-8b2c-e81c1711b99f
Physics,1948@1,2,2,be8818d0-2dba-4bf3-859a-737c25fb2c99
Physics,1914@1,2,1,7636a3bf-eb80-4898-8b2c-e81c1711b99f
Physics,1956@1,2,3,a4f8df82-c778-4971-8dcc-7c5c72578e94
Biology,1422@1,18,1,b2589c4b-ef62-48a1-982a-724236ff26b5
Biology,1465@1,18,1,b2589c4b-ef62-48a1-982a-724236ff26b5
Physics,1955@1,2,3,a4f8df82-c778-4971-8dcc-7c5c72578e94
Biology,1469@1,19,1,38ad6783-a1f0-472e-8d3c-28cf336f1d3c
Biology,1470@1,19,1,38ad6783-a1f0-472e-8d3c-28cf336f1d3c
Biology,1471@1,19,1,38ad6783-a1f0-472e-8d3c-28cf336f1d3c
Biology,1517@1,19,1,38ad6783-a1f0-472e-8d3c-28cf336f1d3c
Biology,1538@1,19,1,38ad6783-a1f0-472e-8d3c-28cf336f1d3c
Biology,1540@1,19,1,38ad6783-a1f0-472e-8d3c-28cf336f1d3c
Biology,1552@1,19,1,38ad6783-a1f0-472e-8d3c-28cf336f1d3c
Biology,1475@1,19,1,38ad6783-a1f0-472e-8d3c-28cf336f1d3c
Biology,1472@1,19,1,38ad6783-a1f0-472e-8d3c-28cf336f1d3c
Biology,1519@1,19,1,38ad6783-a1f0-472e-8d3c-28cf336f1d3c
Biology,1539@1,19,1,38ad6783-a1f0-472e-8d3c-28cf336f1d3c
